element_type,osmid,addr:city,name,network,operator,platforms,public_transport,railway,station,subway,wheelchair,wikidata,wikipedia,geometry,addr:postcode,operator_1,addr:housenumber,addr:street,railway:position,internet_access,old_name,addr:state,short_name,elevator,tram
node,5372039290,,8th & Market,SEPTA,,,station,station,subway,yes,yes,Q8255403,,POINT (-8366054.572216404 4858865.97660637),,,,,mi:6.93,,,,,,
node,5372090015,,2nd Street,SEPTA,,,station,station,subway,yes,,Q4633918,en:2nd Street station (SEPTA),POINT (-8364970.086605146 4858678.289631885),,,,,,,,,,,
node,5372090220,,11th Street,SEPTA,,,station,station,subway,yes,no,Q4547989,en:11th Street station (SEPTA),POINT (-8366588.761056873 4858940.123014329),,,,,,,,,,,
node,5372093802,Philadelphia,5th Street,SEPTA,,,station,station,subway,yes,,Q4641464,en:5th Street station (SEPTA),POINT (-8365536.246403371 4858758.983705381),19106,,,5th Street,,,,PA,,,
node,5372098384,,13th Street,SEPTA,,,station,station,subway,yes,,Q4549546,en:13th Street station (SEPTA),POINT (-8366943.669857421 4858996.219655902),,,,,,,,,,,yes
node,5372105611,,15th Street,SEPTA,,,station,station,subway,yes,limited,Q4551050,en:15th Street station (SEPTA),POINT (-8367343.529468349 4859061.654036789),,,,,,,,,,,yes
node,5372108003,Philadelphia,40th Street,SEPTA,SEPTA,,station,station,subway,yes,,Q4637500,,POINT (-8371435.133012201 4859733.172781078),19104,,,,,,,,,,
node,5377305092,Philadelphia,Walnut-Locust,SEPTA,SEPTA,2,station,station,subway,yes,yes,Q7963710,en:Walnut–Locust station,POINT (-8367261.409079991 4858507.116394791),,,200,South Broad Street,mi:7.07,,,PA,,,
node,5377316453,Philadelphia,City Hall,SEPTA,SEPTA,,station,station,subway,yes,no,Q5123198,en:City Hall station (SEPTA),POINT (-8367240.703654705 4859133.405814136),,,,,mi:6.82,,,PA,,,
node,5460903183,,Oregon,SEPTA,SEPTA,,station,station,subway,yes,,Q7101029,en:Oregon (SEPTA station),POINT (-8368003.887819683 4853879.978518474),,,2700,South Broad Street,mi:9.31,,,,,,
node,5529504457,Philadelphia,Susquehanna-Dauphin,SEPTA,Septa;SEPTA,,station,station,subway,yes,no,Q11704150,en:Susquehanna–Dauphin station,POINT (-8366332.292082034 4864067.326123846),,,,North Broad Street,mi:4.37,,,,,,
node,7194028327,,8th & Market,PATCO,,,station,station,subway,yes,yes,Q8255403,,POINT (-8366062.798726774 4858817.417253313),,,,,,,,,,,
