,geometry,OBJECTID,PARK_NAME,DPP_ASSET_ID,PROGRAM_TYPE,SITE_CLASS,BUILDING,GYM,LABEL_NUMBER,COMMENTS,DATA_SOURCE
117,POINT (-75.07587524029057 40.01422541818641),118,William (Billy) Gambrel Playground,1862,PPR_REC,B,Y,Y,46, ,Programs 9/2021
118,POINT (-75.15171966854099 39.98607488663105),119,Penrose Memorial Playground,1977,PPR_REC,B,Y,N,108,Located in PPR District 6 but managed by District 10. ,Programs 9/2021
119,POINT (-75.22848904739256 39.93462565701762),120,Francis J Myers Recreation Center,1858,PPR_REC,A,Y,Y,98, ,Programs 9/2021
120,POINT (-75.15077395553811 39.97608265314455),121,Marie Dendy Recreation Center,1902,PPR_REC,B,Y,N,31, ,Programs 9/2021
121,POINT (-75.13731965283549 39.97288301051884),122,Hancock Playground,1867,PPR_REC,B,Y,N,53, ,Programs 9/2021
122,POINT (-75.13292582952165 39.98857526367781),123,Waterloo Playground,2901,PPR_REC,B,Y,N,141, ,Programs 9/2021
123,POINT (-75.23118655025084 39.97723083991247),124,Charles A Baker Playground,1981,PPR_REC,C,Y,N,9,Staff from Conestoga ,Programs 9/2021
124,POINT (-75.19086661962902 39.96376829761511),125,James L Wright Playground,1975,PPR_REC,A,Y,Y,148, ,Programs 9/2021
125,POINT (-75.1675526605303 39.99366031518227),126,Cecil B Moore Recreation Center,1825,PPR_REC,A,Y,Y,18, ,Programs 9/2021
126,POINT (-75.1832459353673 39.93549944145146),127,Wharton Square,305,PPR_REC,C,Y,N,145, ,Programs 9/2021
127,POINT (-75.14593696428622 39.93479862704011),128,Shot Tower Recreation Center,969,PPR_REC,A,Y,Y,125, ,Programs 9/2021
128,POINT (-75.16349395652202 39.93847958411641),129,Hawthorne Cultural Center,1869,PPR_REC,B,Y,N,55, ,Programs 9/2021
129,POINT (-75.15283583164793 39.94272066912331),130,Starr Garden Playground,1957,PPR_REC,C,Y,N,130, ,Programs 9/2021
130,POINT (-75.15930832959711 39.94361833552515),131,Charles Seger Park,1951,PPR_REC,B,Y,N,122, ,Programs 9/2021
131,POINT (-75.18327252248677 39.94799460919862),132,William H (Billy) Markward Memorial Playground,1903,PPR_REC,B,Y,N,81,Located within Schuylkill River Park,Programs 9/2021
132,POINT (-75.24910302789675 39.9581963178396),133,Johnny Sample Recreation Center,1836,PPR_REC,A,Y,Y,26,Located in Cobbs Creek Park,Programs 1/2022
133,POINT (-75.21072789630189 39.96166400456165),134,John A Lee Cultural Center,1892,PPR_REC,B,Y,N,75, ,Programs 9/2021
134,POINT (-75.22302452499741 39.96746678478296),135,West Mill Creek,1970,PPR_REC,B,Y,N,144, ,Programs 9/2021
135,POINT (-75.23417965428875 39.96726986200185),136,Haddington-Marshall L Shepard Sr Recreation Center,1952,PPR_REC,A,Y,Y,123, ,Programs 9/2021
136,POINT (-75.1511521250283 39.96679645984991),137,East Poplar Playground,1851,PPR_REC,B,Y,N,36, ,Programs 9/2021
137,POINT (-75.21270627112477 39.97925153013563),138,Carousel House Recreation Center,1824,PPR_REC,A,Y,Y,17,Located in West Fairmount Park. Currently closed for Rebuild.,Programs 9/2021
138,POINT (-75.1351096773182 39.97839894472458),139,Michael J Towey Playground,1964,PPR_REC,A,Y,Y,136, ,Programs 9/2021
139,POINT (-75.19536151286931 39.98161136702157),140,Smith Memorial Playground and Playhouse,1955,NON_PPR_REC,NA,Y,N,129,"Located in East Fairmount Park. Programmed by Smith Memorial Trust, Wells Fargo Trustee.",Programs 9/2021
140,POINT (-75.18780302675405 39.98978191070308),141,Joseph E Mander Playground,1900,PPR_REC,B,Y,N,80,Located in East Fairmount Park,Programs 9/2021
141,POINT (-75.18676968916753 40.00879634151398),142,Harry S McDevitt Playground,1906,PPR_REC,A,Y,Y,87, ,Programs 9/2021
142,POINT (-75.16627216835403 40.02369319503715),143,Happy Hollow Recreation Center,1868,PPR_REC,B,Y,Y,54, ,Programs 9/2021
143,POINT (-75.06961996324614 40.02401372455224),144,Wissinoming Park,1973,PPR_REC,C,Y,N,146, ,Programs 9/2021
144,POINT (-74.99820507273166 40.058979690821),145,Torresdale Recreation Center,68,PPR_REC,B,Y,N,135, ,Programs 9/2021
145,POINT (-75.1786676990227 39.97795135822441),146,Athletic Recreation Center,1811,PPR_REC,A,Y,Y,7, ,Programs 9/2021
146,POINT (-75.25110101083079 39.90443773947142),147,Eastwick Regional Playground,499,PPR_REC,B,Y,N,37, ,Programs 9/2021
147,POINT (-75.13818642348133 39.98907139694056),148,Frank S Nelson Jr Memorial Recreation Center,1988,PPR_REC,A,Y,N,99,2019-2020 Renovations,Programs 9/2021
148,POINT (-75.10499811216289 40.01477654299375),149,Joseph A Ferko Playground,1854,PPR_REC,C,Y,N,150,,Programs 9/2021
149,POINT (-75.06283086758222 40.01627911397489),150,Victor J Moss Memorial Field,1916,PPR_REC,C,Y,N,0, ,Programs 9/2021
150,POINT (-75.12345451354452 39.98380828889604),151,Black Coyle and McBride Playground,1820,PPR_REC,C,Y,N,0, ,Programs 9/2021
151,POINT (-75.11234902466883 40.00160123821637),152,Ramblers Recreation Center,1937,NON_PPR_REC,NA,Y,Y,0,Kensington Ramblers PAL Center (aka Harrowgate),Programs 9/2021
152,POINT (-75.13106611263525 40.04354765474989),153,Fisher Park,679,PPR_REC,B,Y,N,0,Staff deployed from Olney (Closed),Programs 9/2021
153,POINT (-75.15557135638922 40.00064269824819),154,Heritage Park Playground,1871,PPR_REC,C,Y,N,0, ,Programs 9/2021
154,POINT (-75.17426554717967 40.03970459129257),155,Morton Playground,1915,PPR_REC,C,N,N,0,"Building on site is an L&I Office building, it is NOT a PPR Building.",Programs 9/2021
155,POINT (-75.15777061033161 39.98880972499349),156,Marie Winchester Playground,2900,PPR_REC,B,Y,N,0, ,Programs 9/2021
156,POINT (-75.19774340588957 39.93621729294301),157,Jacob Stinger Park,443,PPR_REC,C,N,N,0,Only PPR building is staff/restroom building.,Programs 9/2021
157,POINT (-75.15044138964208 39.9212596800912),158,Reverend Edward P Burke Playground,202,PPR_REC,C,N,N,0,Only PPR building is storage shed.,Programs 9/2021
