,geometry,OBJECTID,PARK_NAME,DPP_ASSET_ID,PROGRAM_TYPE,SITE_CLASS,BUILDING,GYM,LABEL_NUMBER,COMMENTS,DATA_SOURCE
199,POINT (-75.16545637926026 40.0065147792405),200,22nd and Ontario Park,1185,PPR_REC,D,N,N,,,Programs 9/2021
200,POINT (-75.17160923783888 39.98220677399239),201,Montgomery and Croskey Play Lot,614,NON_PPR_REC,NA,N,N,,,Programs 9/2021
201,POINT (-75.13936390853247 39.9811024099671),202,3rd and Norris Playground,2903,PPR_REC,C,N,N,,,Programs 9/2021
202,POINT (-75.05126995484714 40.09188699983194),203,CCA Baldi School Playground,2808,NON_PPR_REC,D,N,N,,,Programs 9/2021
203,POINT (-75.06708940999853 40.08075933611006),204,Verree and Susquehanna Playground,1371,PPR_REC,D,N,N,,Located within Pennypack Park,Programs 9/2021
204,POINT (-75.05131602861724 40.06252310940064),205,Northeast Older Adult Center,3087,OLDER_ADULT_CENTER,NA,Y,N,,Located on same property as George C Pelbano Playground,Programs 9/2021
205,POINT (-75.02054398400223 40.03898212083266),206,Torresdale and Enfield Fields,1370,PPR_REC,D,N,N,,Located within Pennypack Park,Programs 9/2021
206,POINT (-75.16253171639296 39.93136989489913),207,South Philadelphia Older Adult Center,964,OLDER_ADULT_CENTER,NA,Y,N,,,Programs 9/2021
207,POINT (-75.194682629003 39.92149317927),208,29th and Passyunk Park,432,PPR_REC,D,N,N,,,Programs 9/2021
208,POINT (-75.2489663406423 39.89717532121713),209,Pepper School Playground,2799,NON_PPR_REC,C,N,N,,,Programs 9/2021
209,POINT (-75.22038341414267 39.93171818436542),210,Russell DeRitis Playground,198,PPR_REC,C,N,N,,,Programs 9/2021
210,POINT (-75.24596893610116 39.9435759538509),211,Robert Wilson III Park,3454,PPR_REC,C,N,N,,Located in Cobbs Creek Park,Programs 9/2021
211,POINT (-75.24682252845099 39.94523726972836),212,61st and Cobbs Creek Park,3481,PPR_REC,D,N,N,,Located in Cobbs Creek Park,Programs 9/2021
212,POINT (-75.23814712209251 39.94100053243203),213,Whitby Avenue Playground,1372,PPR_REC,D,N,N,,Located in Cobbs Creek Park,Programs 9/2021
213,POINT (-75.14240097975116 39.97167203122048),214,Thomas Hart Park,578,PPR_REC,D,N,N,,,Programs 9/2021
214,POINT (-75.15498460533743 39.9635854486283),215,10th and Lemon Playground,2914,PPR_REC,C,N,N,,,Programs 9/2021
215,POINT (-75.20774576506464 39.97905046625974),216,Kelly Pool,1278,POOL,NA,N,N,,Located in West Fairmount Park,Programs 9/2021
216,POINT (-75.18188732001504 39.96873683263698),217,26th and Pennsylvania Playground,3458,PPR_REC,D,N,N,,Located in East Fairmount Park,Programs 9/2021
217,POINT (-75.20644635419292 39.99936592976732),218,Ford Road Playground,2899,PPR_REC,C,N,N,,Located in West Fairmount Park,Programs 9/2021
218,POINT (-75.18449426593143 39.9795991272315),219,Howard McCall Sr Playground,797,PPR_REC,C,N,N,,,Programs 9/2021
219,POINT (-75.18171550917799 39.9488367380004),220,Schuylkill River Park,2992,PPR_REC,D,N,N,,Markward is located within this park.,Programs 9/2021
220,POINT (-75.18693722779379 39.99500862782132),221,Strawberry Mansion Playground,808,PPR_REC,C,N,N,,,Programs 9/2021
221,POINT (-75.16286259683169 39.97273265867025),222,Stiles Street Play Lot,945,NON_PPR_REC,D,N,N,,,Programs 9/2021
222,POINT (-75.19081262171841 39.96503671912986),223,33rd and Wallace Playground,1801,PPR_REC,C,Y,N,,,Programs 9/2021
